"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"1","Christian McCaffrey",SF,"RB1","2 out of 5 stars","3 out of 5 stars","+1"
"2","Josh Jacobs",LV,"RB2","1 out of 5 stars","1 out of 5 stars","+46"
"3","Austin Ekeler",LAC,"RB3","3 out of 5 stars","2 out of 5 stars","0"
"4","Derrick Henry",TEN,"RB4","3 out of 5 stars","3 out of 5 stars","0"
"5","Dalvin Cook",MIN,"RB5","4 out of 5 stars","4 out of 5 stars","0"
"6","Rhamondre Stevenson",NE,"RB6","2 out of 5 stars","3 out of 5 stars","+80"
"7","Nick Chubb",CLE,"RB7","2 out of 5 stars","2 out of 5 stars","+7"
"8","Justin Jefferson",MIN,"WR1","2 out of 5 stars","3 out of 5 stars","0"
"9","Saquon Barkley",NYG,"RB8","3 out of 5 stars","2 out of 5 stars","+8"
"10","Tyreek Hill",MIA,"WR2","3 out of 5 stars","3 out of 5 stars","+13"
"11","Ja'Marr Chase",CIN,"WR3","3 out of 5 stars","3 out of 5 stars","-1"
"12","Davante Adams",LV,"WR4","3 out of 5 stars","3 out of 5 stars","+1"
"13","James Conner",ARI,"RB9","4 out of 5 stars","4 out of 5 stars","+14"
"14","Stefon Diggs",BUF,"WR5","3 out of 5 stars","2 out of 5 stars","+1"
"15","Travis Kelce",KC,"TE1","3 out of 5 stars","3 out of 5 stars","+1"
"16","Travis Etienne Jr.",JAC,"RB10","3 out of 5 stars","3 out of 5 stars","+20"
"17","A.J. Brown",PHI,"WR6","4 out of 5 stars","4 out of 5 stars","+12"
"18","Joe Mixon",CIN,"RB11","2 out of 5 stars","2 out of 5 stars","-9"
"19","CeeDee Lamb",DAL,"WR7","3 out of 5 stars","3 out of 5 stars","+1"
"20","Kenneth Walker III",SEA,"RB12","2 out of 5 stars","1 out of 5 stars","+75"
"21","Alvin Kamara",NO,"RB13","5 out of 5 stars","5 out of 5 stars","-10"
"22","Tony Pollard",DAL,"RB14","3 out of 5 stars","3 out of 5 stars","+57"
"23","Amon-Ra St. Brown",DET,"WR8","3 out of 5 stars","3 out of 5 stars","+36"
"24","Aaron Jones",GB,"RB15","3 out of 5 stars","3 out of 5 stars","-5"
"25","DK Metcalf",SEA,"WR9","3 out of 5 stars","3 out of 5 stars","+29"
"26","Jaylen Waddle",MIA,"WR10","3 out of 5 stars","3 out of 5 stars","+26"
"27","Tee Higgins",CIN,"WR11","3 out of 5 stars","3 out of 5 stars","+8"
"28","Keenan Allen",LAC,"WR12","4 out of 5 stars","4 out of 5 stars","+4"
"29","Raheem Mostert",MIA,"RB16","3 out of 5 stars","3 out of 5 stars","+107"
"30","Miles Sanders",PHI,"RB17","2 out of 5 stars","2 out of 5 stars","+53"
"31","Ezekiel Elliott",DAL,"RB18","3 out of 5 stars","3 out of 5 stars","-3"
"32","Garrett Wilson",NYJ,"WR13","4 out of 5 stars","4 out of 5 stars","+102"
"33","David Montgomery",CHI,"RB19","3 out of 5 stars","4 out of 5 stars","+5"
"34","DeAndre Hopkins",ARI,"WR14","4 out of 5 stars","3 out of 5 stars","+53"
"35","T.J. Hockenson",MIN,"TE2","5 out of 5 stars","5 out of 5 stars","+39"
"36","Josh Allen",BUF,"QB1","4 out of 5 stars","4 out of 5 stars","-15"
"37","J.K. Dobbins",BAL,"RB20","4 out of 5 stars","4 out of 5 stars","+13"
"38","Mike Williams",LAC,"WR15","4 out of 5 stars","4 out of 5 stars","+5"
"39","Christian Watson",GB,"WR16","2 out of 5 stars","3 out of 5 stars","+135"
"40","Brian Robinson Jr.",WAS,"RB21","3 out of 5 stars","3 out of 5 stars","+95"
"41","Najee Harris",PIT,"RB22","3 out of 5 stars","4 out of 5 stars","-34"
"42","Chris Godwin",TB,"WR17","4 out of 5 stars","4 out of 5 stars","+23"
"43","Terry McLaurin",WAS,"WR18","3 out of 5 stars","2 out of 5 stars","+2"
"44","George Kittle",SF,"TE3","3 out of 5 stars","3 out of 5 stars","-4"
"45","DeVonta Smith",PHI,"WR19","4 out of 5 stars","4 out of 5 stars","+46"
"46","Christian Kirk",JAC,"WR20","3 out of 5 stars","4 out of 5 stars","+52"
"47","Chris Olave",NO,"WR21","3 out of 5 stars","3 out of 5 stars","+58"
"48","Patrick Mahomes II",KC,"QB2","2 out of 5 stars","2 out of 5 stars","-18"
"49","Jamaal Williams",DET,"RB23","4 out of 5 stars","4 out of 5 stars","+96"
"50","Isiah Pacheco",KC,"RB24","4 out of 5 stars","4 out of 5 stars","+170"
"51","Mike Evans",TB,"WR22","4 out of 5 stars","4 out of 5 stars","-25"
"52","Jerick McKinnon",KC,"RB25","4 out of 5 stars","4 out of 5 stars","+196"
"53","Dalton Schultz",DAL,"TE4","3 out of 5 stars","3 out of 5 stars","+8"
"54","Tyler Allgeier",ATL,"RB26","4 out of 5 stars","3 out of 5 stars","+77"
"55","Amari Cooper",CLE,"WR23","3 out of 5 stars","3 out of 5 stars","+18"
"56","D'Andre Swift",DET,"RB27","4 out of 5 stars","4 out of 5 stars","-44"
"57","Cam Akers",LAR,"RB28","3 out of 5 stars","4 out of 5 stars","-20"
"58","Latavius Murray",DEN,"RB29","3 out of 5 stars","3 out of 5 stars","-"
"59","Zack Moss",IND,"RB30","3 out of 5 stars","3 out of 5 stars","+267"
"60","Gabe Davis",BUF,"WR24","3 out of 5 stars","2 out of 5 stars","+4"
"61","Mark Andrews",BAL,"TE5","3 out of 5 stars","3 out of 5 stars","-36"
"62","Devin Singletary",BUF,"RB31","3 out of 5 stars","3 out of 5 stars","+16"
"63","Brandon Aiyuk",SF,"WR25","3 out of 5 stars","3 out of 5 stars","+33"
"64","Rachaad White",TB,"RB32","4 out of 5 stars","4 out of 5 stars","+68"
"65","Jalen Hurts",PHI,"QB3","2 out of 5 stars","3 out of 5 stars","-10"
"66","David Njoku",CLE,"TE6","1 out of 5 stars","1 out of 5 stars","+92"
"67","Allen Lazard",GB,"WR26","2 out of 5 stars","3 out of 5 stars","+23"
"68","Justin Fields",CHI,"QB4","4 out of 5 stars","2 out of 5 stars","+74"
"69","JuJu Smith-Schuster",KC,"WR27","2 out of 5 stars","2 out of 5 stars","+3"
"70","AJ Dillon",GB,"RB33","3 out of 5 stars","3 out of 5 stars","-19"
"71","Jerry Jeudy",DEN,"WR28","4 out of 5 stars","4 out of 5 stars","-4"
"72","Zonovan Knight",NYJ,"RB34","5 out of 5 stars","5 out of 5 stars","-"
"73","Joe Burrow",CIN,"QB5","2 out of 5 stars","3 out of 5 stars","-17"
"74","Leonard Fournette",TB,"RB35","4 out of 5 stars","4 out of 5 stars","-50"
"75","Cordarrelle Patterson",ATL,"RB36","4 out of 5 stars","3 out of 5 stars","+9"
"76","Michael Pittman Jr.",IND,"WR29","2 out of 5 stars","2 out of 5 stars","-43"
"77","D'Onta Foreman",CAR,"RB37","3 out of 5 stars","3 out of 5 stars","+99"
"78","Drake London",ATL,"WR30","4 out of 5 stars","4 out of 5 stars","+19"
"79","Gus Edwards",BAL,"RB38","4 out of 5 stars","4 out of 5 stars","+164"
"80","Justin Herbert",LAC,"QB6","3 out of 5 stars","3 out of 5 stars","-46"
"81","Zay Jones",JAC,"WR31","3 out of 5 stars","4 out of 5 stars","+224"
"82","DJ Moore",CAR,"WR32","3 out of 5 stars","3 out of 5 stars","-43"
"83","Deon Jackson",IND,"RB39","3 out of 5 stars","3 out of 5 stars","-"
"84","James Cook",BUF,"RB40","3 out of 5 stars","3 out of 5 stars","+16"
"85","Antonio Gibson",WAS,"RB41","3 out of 5 stars","3 out of 5 stars","-27"
"86","Treylon Burks",TEN,"WR33","4 out of 5 stars","4 out of 5 stars","+24"
"87","Tua Tagovailoa",MIA,"QB7","3 out of 5 stars","3 out of 5 stars","+40"
"88","Evan Engram",JAC,"TE7","3 out of 5 stars","2 out of 5 stars","+133"
"89","Donovan Peoples-Jones",CLE,"WR34","3 out of 5 stars","3 out of 5 stars","+162"
"90","DJ Chark Jr.",DET,"WR35","3 out of 5 stars","3 out of 5 stars","+57"
"91","Tyler Lockett",SEA,"WR36","3 out of 5 stars","3 out of 5 stars","+17"
"92","Trevor Lawrence",JAC,"QB8","1 out of 5 stars","1 out of 5 stars","+58"
"93","Dak Prescott",DAL,"QB9","2 out of 5 stars","3 out of 5 stars","-5"
"94","Marquise Brown",ARI,"WR37","4 out of 5 stars","3 out of 5 stars","-31"
"95","Lamar Jackson",BAL,"QB10","5 out of 5 stars","5 out of 5 stars","-54"
"96","Elijah Moore",NYJ,"WR38","4 out of 5 stars","4 out of 5 stars","-4"
"97","Kirk Cousins",MIN,"QB11","3 out of 5 stars","3 out of 5 stars","+19"
"98","Dallas Goedert",PHI,"TE8","1 out of 5 stars","1 out of 5 stars","-17"
"99","Samaje Perine",CIN,"RB42","2 out of 5 stars","2 out of 5 stars","+194"
"100","Adam Thielen",MIN,"WR39","2 out of 5 stars","3 out of 5 stars","-30"
"101","Geno Smith",SEA,"QB12","3 out of 5 stars","2 out of 5 stars","+140"
"102","Diontae Johnson",PIT,"WR40","3 out of 5 stars","3 out of 5 stars","-56"
